Year,time series,Units,sex,Value
2019,Durch Prävention vermeidbare Sterblichkeit,"per 100,000 inhabitants",Frauen,92.05
2020,Durch Prävention vermeidbare Sterblichkeit,"per 100,000 inhabitants",Frauen,96.22
2011,Durch Behandlung vermeidbare Sterblichkeit,Anzahl,,74029
2012,Durch Behandlung vermeidbare Sterblichkeit,Anzahl,,72005.5
2013,Durch Behandlung vermeidbare Sterblichkeit,Anzahl,,71225
2014,Durch Behandlung vermeidbare Sterblichkeit,Anzahl,,67489.5
2015,Durch Behandlung vermeidbare Sterblichkeit,Anzahl,,68212
2016,Durch Behandlung vermeidbare Sterblichkeit,Anzahl,,65536.5
2017,Durch Behandlung vermeidbare Sterblichkeit,Anzahl,,64433
2018,Durch Behandlung vermeidbare Sterblichkeit,Anzahl,,64849
2019,Durch Behandlung vermeidbare Sterblichkeit,Anzahl,,62767
2020,Durch Behandlung vermeidbare Sterblichkeit,Anzahl,,63321
2011,Durch Behandlung vermeidbare Sterblichkeit,"per 100,000 inhabitants",,94.48
2012,Durch Behandlung vermeidbare Sterblichkeit,"per 100,000 inhabitants",,92
2013,Durch Behandlung vermeidbare Sterblichkeit,"per 100,000 inhabitants",,91.54
2014,Durch Behandlung vermeidbare Sterblichkeit,"per 100,000 inhabitants",,87.42
2015,Durch Behandlung vermeidbare Sterblichkeit,"per 100,000 inhabitants",,89.37
2016,Durch Behandlung vermeidbare Sterblichkeit,"per 100,000 inhabitants",,86.92
2017,Durch Behandlung vermeidbare Sterblichkeit,"per 100,000 inhabitants",,85.51
2018,Durch Behandlung vermeidbare Sterblichkeit,"per 100,000 inhabitants",,85.36
2019,Durch Behandlung vermeidbare Sterblichkeit,"per 100,000 inhabitants",,81.75
2020,Durch Behandlung vermeidbare Sterblichkeit,"per 100,000 inhabitants",,80.84
2011,Durch Behandlung vermeidbare Sterblichkeit,Anzahl,Männer,41114.5
2012,Durch Behandlung vermeidbare Sterblichkeit,Anzahl,Männer,40056
2013,Durch Behandlung vermeidbare Sterblichkeit,Anzahl,Männer,39522
2014,Durch Behandlung vermeidbare Sterblichkeit,Anzahl,Männer,37517
2015,Durch Behandlung vermeidbare Sterblichkeit,Anzahl,Männer,38002
2016,Durch Behandlung vermeidbare Sterblichkeit,Anzahl,Männer,36301.5
2017,Durch Behandlung vermeidbare Sterblichkeit,Anzahl,Männer,35786.5
2018,Durch Behandlung vermeidbare Sterblichkeit,Anzahl,Männer,36111.5
2019,Durch Behandlung vermeidbare Sterblichkeit,Anzahl,Männer,34958.5
2020,Durch Behandlung vermeidbare Sterblichkeit,Anzahl,Männer,35610
2011,Durch Behandlung vermeidbare Sterblichkeit,"per 100,000 inhabitants",Männer,109.32
2012,Durch Behandlung vermeidbare Sterblichkeit,"per 100,000 inhabitants",Männer,106.51
2013,Durch Behandlung vermeidbare Sterblichkeit,"per 100,000 inhabitants",Männer,105.62
2014,Durch Behandlung vermeidbare Sterblichkeit,"per 100,000 inhabitants",Männer,100.9
2015,Durch Behandlung vermeidbare Sterblichkeit,"per 100,000 inhabitants",Männer,103.27
2016,Durch Behandlung vermeidbare Sterblichkeit,"per 100,000 inhabitants",Männer,99.8
2017,Durch Behandlung vermeidbare Sterblichkeit,"per 100,000 inhabitants",Männer,98.42
2018,Durch Behandlung vermeidbare Sterblichkeit,"per 100,000 inhabitants",Männer,98.42
2019,Durch Behandlung vermeidbare Sterblichkeit,"per 100,000 inhabitants",Männer,94.12
2020,Durch Behandlung vermeidbare Sterblichkeit,"per 100,000 inhabitants",Männer,93.88
2011,Durch Behandlung vermeidbare Sterblichkeit,Anzahl,Frauen,32914.5
2012,Durch Behandlung vermeidbare Sterblichkeit,Anzahl,Frauen,31949.5
2013,Durch Behandlung vermeidbare Sterblichkeit,Anzahl,Frauen,31703
2014,Durch Behandlung vermeidbare Sterblichkeit,Anzahl,Frauen,29972.5
2015,Durch Behandlung vermeidbare Sterblichkeit,Anzahl,Frauen,30210
2016,Durch Behandlung vermeidbare Sterblichkeit,Anzahl,Frauen,29235
2017,Durch Behandlung vermeidbare Sterblichkeit,Anzahl,Frauen,28646.5
2018,Durch Behandlung vermeidbare Sterblichkeit,Anzahl,Frauen,28737.5
2019,Durch Behandlung vermeidbare Sterblichkeit,Anzahl,Frauen,27808.5
2020,Durch Behandlung vermeidbare Sterblichkeit,Anzahl,Frauen,27711
2011,Durch Behandlung vermeidbare Sterblichkeit,"per 100,000 inhabitants",Frauen,80.98
2012,Durch Behandlung vermeidbare Sterblichkeit,"per 100,000 inhabitants",Frauen,78.78
2013,Durch Behandlung vermeidbare Sterblichkeit,"per 100,000 inhabitants",Frauen,78.71
2014,Durch Behandlung vermeidbare Sterblichkeit,"per 100,000 inhabitants",Frauen,75.11
2015,Durch Behandlung vermeidbare Sterblichkeit,"per 100,000 inhabitants",Frauen,76.63
2016,Durch Behandlung vermeidbare Sterblichkeit,"per 100,000 inhabitants",Frauen,75.14
2017,Durch Behandlung vermeidbare Sterblichkeit,"per 100,000 inhabitants",Frauen,73.72
2018,Durch Behandlung vermeidbare Sterblichkeit,"per 100,000 inhabitants",Frauen,73.42
2019,Durch Behandlung vermeidbare Sterblichkeit,"per 100,000 inhabitants",Frauen,70.42
2020,Durch Behandlung vermeidbare Sterblichkeit,"per 100,000 inhabitants",Frauen,68.88
